Materia,Profesor,D,H,Calif
Electromagnetismo II,Julio Javier Martinell Benito,lu ma ju,12 a 14,8.3
Electromagnetismo II,Ángel Sánchez Cecilio,lu mi vi,8 a 10,7.9
Electromagnetismo II,José Alberto Flandes Mendoza,lu mi vi,14 a 16,7.2
Laboratorio de Electrónica,Antonio González Guzmán,ma ju,18 a 21,8.0
Laboratorio de Electrónica,Andrés Valentín Porta Contreras,ma ju,11 a 14,7.8
Laboratorio de Electrónica,Miguel Enrique Patiño Salazar,lu mi,18 a 21,7.4
Laboratorio de Electrónica,Carlos Javier Villagómez Ojeda,mi vi,7 a 10,7.3
Física Computacional,Roxana Mitzayé del Castillo Vázquez,mi vi,11 a 14,7.9
Física Computacional,Gerardo Ruiz Chavarría,ma ju,11 a 14,7.5
Física Computacional,Edgar Vázquez Luis,lu mi,15 a 18,6.7
Física Computacional,Isaías Rodríguez Aguirre,ma ju,18 a 21,5.8
Mecánica Cuántica,Carlos Ramírez Ramos,lu mi vi,16 a 18,8.5
Mecánica Cuántica,Fernando Matías Moreno Yntriago,lu mi vi,10 a 12,7.9
Mecánica Cuántica,Octavio Héctor Castaños Garza,lu mi vi,12 a 14,7.1
Mecánica Cuántica,Vicenta Sánchez Morales,lu mi vi,8 a 10,6.7
