Materia,Profesor,D,H,Calif
Electromagnetismo II,Luis Fernando Magaña Solís,lu ma ju,8 a 10,8.9
Electromagnetismo II,Ángel Sánchez Cecilio,lu mi vi,8 a 10,7.9
Electromagnetismo II,Ángel Prieto Ruiz,lu mi vi,10 a 12,7.3
Electromagnetismo II,Julio Javier Martinell Benito,lu ma ju,12 a 14,8.3
Electromagnetismo II,Alejandro Reyes Coronado,lu mi vi,12 a 14,8.6
Electromagnetismo II,Erik Rodrigo Jiménez Vázquez,lu mi vi,14 a 16,3.8
Electromagnetismo II,José Alberto Flandes Mendoza,lu mi vi,14 a 16,7.2
Electromagnetismo II,José Manuel Hernández Alcántara,lu mi vi,16 a 18,0.0
Física Computacional,José Jesús Carlos Quintanar Sierra,ma ju,7 a 10,4.5
Física Computacional,Ricardo Méndez Fragoso,ma ju,7 a 10,6.1
Física Computacional,Lauro Oliver Paz Borbón,mi vi,7 a 10,9.4
Física Computacional,Gerardo Ruiz Chavarría,ma ju,11 a 14,7.5
Física Computacional,Roxana Mitzayé del Castillo Vázquez,mi vi,11 a 14,7.9
Física Computacional,Edgar Vázquez Luis,lu mi,15 a 18,6.7
Física Computacional,Carlos Gerardo Malanche Flores,ma ju,15 a 18,5.3
Física Computacional,Isaías Rodríguez Aguirre,ma ju,18 a 21,5.8
Laboratorio de Electrónica,José Manuel Alvarado Reyes,ma ju,7 a 10,5.8
Laboratorio de Electrónica,Carlos Javier Villagómez Ojeda,mi vi,7 a 10,7.3
Laboratorio de Electrónica,Andrés Valentín Porta Contreras,ma ju,11 a 14,7.8
Laboratorio de Electrónica,Jehú López Aparicio,mi vi,11 a 14,8.4
Laboratorio de Electrónica,Jaime Octavio Guerra Pulido,lu mi,15 a 18,8.0
Laboratorio de Electrónica,Ricardo César Arzate Trujillo,ma ju,15 a 18,3.6
Laboratorio de Electrónica,Miguel Enrique Patiño Salazar,lu mi,18 a 21,7.4
Laboratorio de Electrónica,Antonio González Guzmán,ma ju,18 a 21,8.0
Mecánica Cuántica,Vicenta Sánchez Morales,lu mi vi,8 a 10,6.7
Mecánica Cuántica,Luis Fernando de la Peña Auerbach,lu ma ju,10 a 12,6.2
Mecánica Cuántica,Fernando Matías Moreno Yntriago,lu mi vi,10 a 12,7.9
Mecánica Cuántica,Octavio Héctor Castaños Garza,lu mi vi,12 a 14,7.1
Mecánica Cuántica,Chumin Wang Chen,lu mi vi,12 a 14,7.8
Mecánica Cuántica,Erick Leonardo Patiño Jaidar,lu ma ju,12 a 14,7.0
Mecánica Cuántica,Manuel de Llano de la Garza,lu mi vi,14 a 16,4.7
Mecánica Cuántica,Carlos Ramírez Ramos,lu mi vi,16 a 18,8.5
Mecánica Cuántica,Edgar Andrés Sánchez García,lu mi vi,18 a 20,10.0
